p1; P 1
pnm2_1; P n m 2_1
pmn2_1(ba-c); Pmn2_1 (ba-c)
pmn2_1[ba-c]; Pmn2_1 [ba-c]
p2_1mn; P 2_1 m n
pmn2_1(cab); Pmn2_1 (cab)
pmn2_1[cab]; Pmn2_1 [cab]
p2_1nm; P 2_1 n m
pmn2_1(-cba); Pmn2_1 (-cba)
pmn2_1[-cba]; Pmn2_1 [-cba]
pn2_1m; P n 2_1 m
pmn2_1(bca); Pmn2_1 (bca)
pmn2_1[bca]; Pmn2_1 [bca]
pm2_1n; P m 2_1 n
pmn2_1(a-cb); Pmn2_1 (a-cb)
pmn2_1[a-cb]; Pmn2_1 [a-cb]
pba2; P b a 2
p2cb; P 2 c b
pba2(cab); Pba2 (cab)
pba2[cab]; Pba2 [cab]
pc2a; P c 2 a
pba2(bca); Pba2 (bca)
pba2[bca]; Pba2 [bca]
pna2_1; P n a 2_1
pbn2_1; P b n 2_1
pna2_1(ba-c); Pna2_1 (ba-c)
pna2_1[ba-c]; Pna2_1 [ba-c]
p2_1nb; P 2_1 n b
pna2_1(cab); Pna2_1 (cab)
pna2_1[cab]; Pna2_1 [cab]
p2_1cn; P 2_1 c n
pna2_1(-cba); Pna2_1 (-cba)
pna2_1[-cba]; Pna2_1 [-cba]
pc2_1n; P c 2_1 n
pna2_1(bca); Pna2_1 (bca)
pna2_1[bca]; Pna2_1 [bca]
pn2_1a; P n 2_1 a
pna2_1(a-cb); Pna2_1 (a-cb)
pna2_1[a-cb]; Pna2_1 [a-cb]
pnn2; P n n 2
p2nn; P 2 n n
pnn2(cab); Pnn2 (cab)
pnn2[cab]; Pnn2 [cab]
pn2n; P n 2 n
pnn2(bca); Pnn2 (bca)
pnn2[bca]; Pnn2 [bca]
cmm2; C m m 2
a2mm; A 2 m m
cmm2(cab); Cmm2 (cab)
cmm2[cab]; Cmm2 [cab]
bm2m; B m 2 m
cmm2(bca); Cmm2 (bca)
cmm2[bca]; Cmm2 [bca]
cmc2_1; C m c 2_1
ccm2_1; C c m 2_1
cmc2_1(ba-c); Cmc2_1 (ba-c)
cmc2_1[ba-c]; Cmc2_1 [ba-c]
a2_1ma; A 2_1 m a
cmc2_1(cab); Cmc2_1 (cab)
cmc2_1[cab]; Cmc2_1 [cab]
a2_1am; A 2_1 a m
cmc2_1(-cba); Cmc2_1 (-cba)
cmc2_1[-cba]; Cmc2_1 [-cba]
bb2_1m; B b 2_1 m
cmc2_1(bca); Cmc2_1 (bca)
cmc2_1[bca]; Cmc2_1 [bca]
bm2_1b; B m 2_1 b
cmc2_1(a-cb); Cmc2_1 (a-cb)
cmc2_1[a-cb]; Cmc2_1 [a-cb]
ccc2; C c c 2
a2aa; A 2 a a
ccc2(cab); Ccc2 (cab)
ccc2[cab]; Ccc2 [cab]
bb2b; B b 2 b
ccc2(bca); Ccc2 (bca)
ccc2[bca]; Ccc2 [bca]
amm2; A m m 2
bmm2; B m m 2
amm2(ba-c); Amm2 (ba-c)
amm2[ba-c]; Amm2 [ba-c]
b2mm; B 2 m m
amm2(cab); Amm2 (cab)
amm2[cab]; Amm2 [cab]
c2mm; C 2 m m
amm2(-cba); Amm2 (-cba)
amm2[-cba]; Amm2 [-cba]
cm2m; C m 2 m
amm2(bca); Amm2 (bca)
amm2[bca]; Amm2 [bca]
am2m; A m 2 m
amm2(a-cb); Amm2 (a-cb)
amm2[a-cb]; Amm2 [a-cb]
aem2; A e m 2
bme2; B m e 2
aem2(ba-c); Aem2 (ba-c)
aem2[ba-c]; Aem2 [ba-c]
b2em; B 2 e m
aem2(cab); Aem2 (cab)
aem2[cab]; Aem2 [cab]
c2me; C 2 m e
aem2(-cba); Aem2 (-cba)
aem2[-cba]; Aem2 [-cba]
cm2e; C m 2 e
