MSG_BNS_num  MSG_UNI_symb                   MSG_magHall_symb        MSG_generators
24.53        I2_12_12_1.1                   I 2b 2c                 (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2);(-x+1/2,y,-z);(-x,-y+1/2,z)
24.54        I2_12_12_1.1'                  I 2b 2c 1'              (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2);(-x+1/2,y,-z);(-x,-y+1/2,z);(x,y,z)'
24.55        I2_1'2_1'2_1                   I 2b 2c'                (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2)';(-x+1/2,y,-z)';(-x,-y+1/2,z)
24.56        I2_12_12_1.1'_c[C222]          I 2ac 2ab 1'c           (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2);(-x+1/2,y,-z);(-x,-y+1/2,z);(x,y,z+1/2)'
25.57        Pmm2.1                         P 2 -2                  (-x,y,z);(x,-y,z);(-x,-y,z)
25.58        Pmm2.1'                        P 2 -2 1'               (-x,y,z);(x,-y,z);(-x,-y,z);(x,y,z)'
25.59        Pm'm2'                         P 2' -2'                (-x,y,z)';(x,-y,z);(-x,-y,z)'
25.60        Pm'm'2                         P 2 -2'                 (-x,y,z)';(x,-y,z)';(-x,-y,z)
25.61        Pmm2.1'_c[Pmm2]                P 2 -2 1'c              (-x,y,z);(x,-y,z);(-x,-y,z);(x,y,z+1/2)'
25.62        Pmm2.1'_a[Pmm2]                P 2 -2 1'a              (-x,y,z);(x,-y,z);(-x,-y,z);(x+1/2,y,z)'
25.63        Pmm2.1'_C[Cmm2]                P 2 -2 1'C              (-x,y,z);(x,-y,z);(-x,-y,z);(x+1/2,y+1/2,z)'
25.64        Pmm2.1'_A[Amm2]                P 2 -2 1'A              (-x,y,z);(x,-y,z);(-x,-y,z);(x,y+1/2,z+1/2)'
25.65        Pmm2.1'_I[Imm2]                P 2 -2 1'I              (-x,y,z);(x,-y,z);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
26.66        Pmc2_1.1                       P 2c -2                 (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2)
26.67        Pmc2_1.1'                      P 2c -2 1'              (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y,z)'
26.68        Pm'c2_1'                       P 2c' -2'               (-x,y,z)';(x,-y,z+1/2);(-x,-y,z+1/2)'
26.69        Pmc'2_1'                       P 2c' -2                (-x,y,z);(x,-y,z+1/2)';(-x,-y,z+1/2)'
26.70        Pm'c'2_1                       P 2c -2'                (-x,y,z)';(x,-y,z+1/2)';(-x,-y,z+1/2)
26.71        Pmc2_1.1'_a[Pmc2_1]            P 2c -2 1'a             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x+1/2,y,z)'
26.72        Pmc2_1.1'_b[Pmc2_1]            P 2c -2 1'b             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y+1/2,z)'
26.73        Pmc2_1.1'_c[Pmm2]              P 2c -2 1'c             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y,z+1/2)'
26.74        Pmc2_1.1'_A[Amm2]              P 2c -2 1'A             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y+1/2,z+1/2)'
26.75        Pmc2_1.1'_B[Bma2]              P 2c -2 1'B             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x+1/2,y,z+1/2)'
26.76        Pmc2_1.1'_C[Cmc2_1]            P 2c -2 1'C             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x+1/2,y+1/2,z)'
26.77        Pmc2_1.1'_I[Ima2]              P 2c -2 1'I             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x+1/2,y+1/2,z+1/2)'
27.78        Pcc2.1                         P 2 -2c                 (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z)
27.79        Pcc2.1'                        P 2 -2c 1'              (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z);(x,y,z)'
27.80        Pc'c2'                         P 2' -2c                (-x,y,z+1/2)';(x,-y,z+1/2);(-x,-y,z)'
27.81        Pc'c'2                         P 2 -2c'                (-x,y,z+1/2)';(x,-y,z+1/2)';(-x,-y,z)
27.82        Pcc2.1'_c[Pmm2]                P 2 -2c 1'c             (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z);(x,y,z+1/2)'
27.83        Pcc2.1'_a[Pcc2]                P 2 -2c 1'a             (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z);(x+1/2,y,z)'
27.84        Pcc2.1'_C[Ccc2]                P 2 -2c 1'C             (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z);(x+1/2,y+1/2,z)'
27.85        Pcc2.1'_A[Abm2]                P 2 -2c 1'A             (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z);(x,y+1/2,z+1/2)'
27.86        Pcc2.1'_I[Iba2]                P 2 -2c 1'I             (-x,y,z+1/2);(x,-y,z+1/2);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
28.87        Pma2.1                         P 2 -2a                 (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z)
28.88        Pma2.1'                        P 2 -2a 1'              (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x,y,z)'
28.89        Pm'a2'                         P 2' -2a'               (-x+1/2,y,z)';(x+1/2,-y,z);(-x,-y,z)'
28.90        Pma'2'                         P 2' -2a                (-x+1/2,y,z);(x+1/2,-y,z)';(-x,-y,z)'
28.91        Pm'a'2                         P 2 -2a'                (-x+1/2,y,z)';(x+1/2,-y,z)';(-x,-y,z)
28.92        Pma2.1'_a[Pmm2]                P 2 -2a 1'a             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x+1/2,y,z)'
28.93        Pma2.1'_b[Pma2]                P 2 -2a 1'b             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x,y+1/2,z)'
28.94        Pma2.1'_c[Pma2]                P 2 -2a 1'c             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x,y,z+1/2)'
28.95        Pma2.1'_A[Ama2]                P 2 -2a 1'A             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x,y+1/2,z+1/2)'
28.96        Pma2.1'_B[Bma2]                P 2 -2a 1'B             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x+1/2,y,z+1/2)'
28.97        Pma2.1'_C[Cmm2]                P 2 -2a 1'C             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x+1/2,y+1/2,z)'
28.98        Pma2.1'_I[Ima2]                P 2 -2a 1'I             (-x+1/2,y,z);(x+1/2,-y,z);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
29.99        Pca2_1.1                       P 2c -2ac               (-x+1/2,y,z+1/2);(x+1/2,-y,z);(-x,-y,z+1/2)
29.100       Pca2_1.1'                      P 2c -2ac 1'            (-x+1/2,y,z+1/2);(x+1/2,-y,z);(-x,-y,z+1/2);(x,y,z)'
29.101       Pc'a2_1'                       P 2c' -2ac'             (-x+1/2,y,z+1/2)';(x+1/2,-y,z);(-x,-y,z+1/2)'
29.102       Pca'2_1'                       P 2c' -2ac              (-x+1/2,y,z+1/2);(x+1/2,-y,z)';(-x,-y,z+1/2)'
29.103       Pc'a'2_1                       P 2c -2ac'              (-x+1/2,y,z+1/2)';(x+1/2,-y,z)';(-x,-y,z+1/2)
29.104       Pca2_1.1'_a[Pcm2_1]            P 2c -2ac 1'a           (-x+1/2,y,z+1/2);(x+1/2,-y,z);(-x,-y,z+1/2);(x+1/2,y,z)'
29.105       Pca2_1.1'_b[Pca2_1]            P 2c -2ac 1'b           (-x+1/2,y,z+1/2);(x+1/2,-y,z);(-x,-y,z+1/2);(x,y+1/2,z)'
29.106       Pca2_1.1'_c[Pma2]              P 2c -2ac 1'c           (-x+1/2,y,z+1/2);(x+1/2,-y,z);(-x,-y,z+1/2);(x,y,z+1/2)'
