MSG_BNS_num  MSG_UNI_symb                   MSG_magHall_symb        MSG_generators
142.562      I4_1/acd.1'                    -I 4bd 2c 1'            (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4);(x,y+1/2,-z);(-x,y,z+1/2);(y+1/4,x+1/4,z+1/4);(x,y,z)'
142.563      I4_1/a'cd                      I 4bd 2c' -1'           (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4);(x,y+1/2,-z)';(-x,y,z+1/2);(y+1/4,x+1/4,z+1/4)
142.564      I4_1'/ac'd                     -I 4bd' 2c'             (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4)';(x,y+1/2,-z);(-x,y,z+1/2)';(y+1/4,x+1/4,z+1/4)
142.565      I4_1'/acd'                     -I 4bd' 2c              (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4)';(x,y+1/2,-z);(-x,y,z+1/2);(y+1/4,x+1/4,z+1/4)'
142.566      I4_1'/a'c'd                    I 4bd' 2c -1'           (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4)';(x,y+1/2,-z)';(-x,y,z+1/2)';(y+1/4,x+1/4,z+1/4)
142.567      I4_1/ac'd'                     -I 4bd 2c'              (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4);(x,y+1/2,-z);(-x,y,z+1/2)';(y+1/4,x+1/4,z+1/4)'
142.568      I4_1'/a'cd'                    I 4bd' 2c' -1'          (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4)';(x,y+1/2,-z)';(-x,y,z+1/2);(y+1/4,x+1/4,z+1/4)'
142.569      I4_1/a'c'd'                    I 4bd 2c -1'            (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4);(x,y+1/2,-z)';(-x,y,z+1/2)';(y+1/4,x+1/4,z+1/4)'
142.570      I4_1/acd.1'_c[rP4_2/nnm]       -I 4bd 2c 1'c           (x+1/2,y+1/2,z+1/2);(-y+1/4,x+3/4,z+1/4);(x,y+1/2,-z);(-x,y,z+1/2);(y+1/4,x+1/4,z+1/4);(x,y,z+1/2)'
143.1        P3.1                           P 3                     (-y,x-y,z)
143.2        P3.1'                          P 3 1'                  (-y,x-y,z);(x,y,z)'
143.3        P3.1'_c[P3]                    P 3 1'c                 (-y,x-y,z);(x,y,z+1/2)'
144.4        P3_1.1                         P 31                    (-y,x-y,z+1/3)
144.5        P3_1.1'                        P 31 1'                 (-y,x-y,z+1/3);(x,y,z)'
144.6        P3_1.1'_c[P3_2]                P 31 1'c                (-y,x-y,z+1/3);(x,y,z+1/2)'
145.7        P3_2.1                         P 32                    (-y,x-y,z+2/3)
145.8        P3_2.1'                        P 32 1'                 (-y,x-y,z+2/3);(x,y,z)'
145.9        P3_2.1'_c[P3_1]                P 32 1'c                (-y,x-y,z+2/3);(x,y,z+1/2)'
146.10       R3.1                           R 3                     (x+2/3,y+1/3,z+1/3);(-y,x-y,z)
146.11       R3.1'                          R 3 1'                  (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,y,z)'
146.12       R3.1'_c[R3]                    R 3 1'I                 (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,y,z+1/2)'
147.13       P-3.1                          -P 3                    (y,-x+y,-z)
147.14       P-3.1'                         -P 3 1'                 (y,-x+y,-z);(x,y,z)'
147.15       P-3'                           P -3'                   (y,-x+y,-z)'
147.16       P-3.1'_c[P-3]                  -P 3 1'c                (y,-x+y,-z);(x,y,z+1/2)'
148.17       R-3.1                          -R 3                    (x+2/3,y+1/3,z+1/3);(y,-x+y,-z)
148.18       R-3.1'                         -R 3 1'                 (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,y,z)'
148.19       R-3'                           R -3'                   (x+2/3,y+1/3,z+1/3);(y,-x+y,-z)'
148.20       R-3.1'_c[R-3]                  -R 3 1'I                (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,y,z+1/2)'
149.21       P312.1                         P 3 2                   (-y,x-y,z);(x,y,z);(-y,-x,-z)
149.22       P312.1'                        P 3 2 1'                (-y,x-y,z);(x,y,z);(-y,-x,-z);(x,y,z)'
149.23       P312'                          P 3 2'                  (-y,x-y,z);(x,y,z);(-y,-x,-z)'
149.24       P312.1'_c[P312]                P 3 2 1'c               (-y,x-y,z);(x,y,z);(-y,-x,-z);(x,y,z+1/2)'
150.25       P321.1                         P 3 2"                  (-y,x-y,z);(-x,-x+y,-z);(x,y,z)
150.26       P321.1'                        P 3 2" 1'               (-y,x-y,z);(-x,-x+y,-z);(x,y,z);(x,y,z)'
150.27       P32'1                          P 3 2"'                 (-y,x-y,z);(-x,-x+y,-z)';(x,y,z)
150.28       P321.1'_c[P321]                P 3 2" 1'c              (-y,x-y,z);(-x,-x+y,-z);(x,y,z);(x,y,z+1/2)'
151.29       P3_112.1                       P 31 2c (0 0 1)         (-y,x-y,z+1/3);(x,y,z);(-y,-x,-z+2/3)
151.30       P3_112.1'                      P 31 2c 1' (0 0 1)      (-y,x-y,z+1/3);(x,y,z);(-y,-x,-z+2/3);(x,y,z)'
151.31       P3_112'                        P 31 2c' (0 0 1)        (-y,x-y,z+1/3);(x,y,z);(-y,-x,-z+2/3)'
151.32       P3_112.1'_c[P3_212]            P 31 2c 1'c (0 0 1)     (-y,x-y,z+1/3);(x,y,z);(-y,-x,-z+2/3);(x,y,z+1/2)'
152.33       P3_121.1                       P 31 2"                 (-y,x-y,z+1/3);(-x,-x+y,-z+1/3);(x,y,z)
152.34       P3_121.1'                      P 31 2" 1'              (-y,x-y,z+1/3);(-x,-x+y,-z+1/3);(x,y,z);(x,y,z)'
152.35       P3_12'1                        P 31 2"'                (-y,x-y,z+1/3);(-x,-x+y,-z+1/3)';(x,y,z)
152.36       P3_121.1'_c[P3_221]            P 31 2" 1'c             (-y,x-y,z+1/3);(-x,-x+y,-z+1/3);(x,y,z);(x,y,z+1/2)'
153.37       P3_212.1                       P 32 2c (0 0 -1)        (-y,x-y,z+2/3);(x,y,z);(-y,-x,-z+1/3)
153.38       P3_212.1'                      P 32 2c 1' (0 0 -1)     (-y,x-y,z+2/3);(x,y,z);(-y,-x,-z+1/3);(x,y,z)'
153.39       P3_212'                        P 32 2c' (0 0 -1)       (-y,x-y,z+2/3);(x,y,z);(-y,-x,-z+1/3)'
153.40       P3_212.1'_c[P3_112]            P 32 2c 1'c (0 0 -1)    (-y,x-y,z+2/3);(x,y,z);(-y,-x,-z+1/3);(x,y,z+1/2)'
154.41       P3_221.1                       P 32 2"                 (-y,x-y,z+2/3);(-x,-x+y,-z+2/3);(x,y,z)
154.42       P3_221.1'                      P 32 2" 1'              (-y,x-y,z+2/3);(-x,-x+y,-z+2/3);(x,y,z);(x,y,z)'
154.43       P3_22'1                        P 32 2"'                (-y,x-y,z+2/3);(-x,-x+y,-z+2/3)';(x,y,z)
154.44       P3_221.1'_c[P3_121]            P 32 2" 1'c             (-y,x-y,z+2/3);(-x,-x+y,-z+2/3);(x,y,z);(x,y,z+1/2)'
155.45       R32.1                          R 3 2"                  (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(-x,-x+y,-z)
155.46       R32.1'                         R 3 2" 1'               (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(-x,-x+y,-z);(x,y,z)'
155.47       R32'                           R 3 2"'                 (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(-x,-x+y,-z)'
155.48       R32.1'_c[R32]                  R 3 2" 1'I              (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(-x,-x+y,-z);(x,y,z+1/2)'
156.49       P3m1.1                         P 3 -2"                 (-y,x-y,z);(x,x-y,z);(x,y,z)
156.50       P3m1.1'                        P 3 -2" 1'              (-y,x-y,z);(x,x-y,z);(x,y,z);(x,y,z)'
156.51       P3m'1                          P 3 -2"'                (-y,x-y,z);(x,x-y,z)';(x,y,z)
156.52       P3m1.1'_c[P3m1]                P 3 -2" 1'c             (-y,x-y,z);(x,x-y,z);(x,y,z);(x,y,z+1/2)'
157.53       P31m.1                         P 3 -2                  (-y,x-y,z);(x,y,z);(y,x,z)
157.54       P31m.1'                        P 3 -2 1'               (-y,x-y,z);(x,y,z);(y,x,z);(x,y,z)'
157.55       P31m'                          P 3 -2'                 (-y,x-y,z);(x,y,z);(y,x,z)'
157.56       P31m.1'_c[P31m]                P 3 -2 1'c              (-y,x-y,z);(x,y,z);(y,x,z);(x,y,z+1/2)'
158.57       P3c1.1                         P 3 -2"c                (-y,x-y,z);(x,x-y,z+1/2);(x,y,z)
158.58       P3c1.1'                        P 3 -2"c 1'             (-y,x-y,z);(x,x-y,z+1/2);(x,y,z);(x,y,z)'
158.59       P3c'1                          P 3 -2"c'               (-y,x-y,z);(x,x-y,z+1/2)';(x,y,z)
158.60       P3c1.1'_c[P3m1]                P 3 -2"c 1'c            (-y,x-y,z);(x,x-y,z+1/2);(x,y,z);(x,y,z+1/2)'
159.61       P31c.1                         P 3 -2c                 (-y,x-y,z);(x,y,z);(y,x,z+1/2)
159.62       P31c.1'                        P 3 -2c 1'              (-y,x-y,z);(x,y,z);(y,x,z+1/2);(x,y,z)'
159.63       P31c'                          P 3 -2c'                (-y,x-y,z);(x,y,z);(y,x,z+1/2)'
159.64       P31c.1'_c[P31m]                P 3 -2c 1'c             (-y,x-y,z);(x,y,z);(y,x,z+1/2);(x,y,z+1/2)'
160.65       R3m.1                          R 3 -2"                 (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z)
160.66       R3m.1'                         R 3 -2" 1'              (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z);(x,y,z)'
160.67       R3m'                           R 3 -2"'                (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z)'
160.68       R3m.1'_c[R3m]                  R 3 -2" 1'I             (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z);(x,y,z+1/2)'
161.69       R3c.1                          R 3 -2"c                (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z+1/2)
161.70       R3c.1'                         R 3 -2"c 1'             (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z+1/2);(x,y,z)'
161.71       R3c'                           R 3 -2"c'               (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z+1/2)'
161.72       R3c.1'_c[R3m]                  R 3 -2"c 1'I            (x+2/3,y+1/3,z+1/3);(-y,x-y,z);(x,x-y,z+1/2);(x,y,z+1/2)'
162.73       P-31m.1                        -P 3 2                  (y,-x+y,-z);(x,y,z);(y,x,z)
162.74       P-31m.1'                       -P 3 2 1'               (y,-x+y,-z);(x,y,z);(y,x,z);(x,y,z)'
162.75       P-3'1m                         P 3 2' -1'              (y,-x+y,-z)';(x,y,z);(y,x,z)
162.76       P-3'1m'                        P 3 2 -1'               (y,-x+y,-z)';(x,y,z);(y,x,z)'
162.77       P-31m'                         -P 3 2'                 (y,-x+y,-z);(x,y,z);(y,x,z)'
162.78       P-31m.1'_c[P-31m]              -P 3 2 1'c              (y,-x+y,-z);(x,y,z);(y,x,z);(x,y,z+1/2)'
163.79       P-31c.1                        -P 3 2c                 (y,-x+y,-z);(x,y,z);(y,x,z+1/2)
163.80       P-31c.1'                       -P 3 2c 1'              (y,-x+y,-z);(x,y,z);(y,x,z+1/2);(x,y,z)'
163.81       P-3'1c                         P 3 2c' -1'             (y,-x+y,-z)';(x,y,z);(y,x,z+1/2)
163.82       P-3'1c'                        P 3 2c -1'              (y,-x+y,-z)';(x,y,z);(y,x,z+1/2)'
163.83       P-31c'                         -P 3 2c'                (y,-x+y,-z);(x,y,z);(y,x,z+1/2)'
163.84       P-31c.1'_c[P-31m]              -P 3 2c 1'c             (y,-x+y,-z);(x,y,z);(y,x,z+1/2);(x,y,z+1/2)'
164.85       P-3m1.1                        -P 3 2"                 (y,-x+y,-z);(x,x-y,z);(x,y,z)
164.86       P-3m1.1'                       -P 3 2" 1'              (y,-x+y,-z);(x,x-y,z);(x,y,z);(x,y,z)'
164.87       P-3'm1                         P 3 2"' -1'             (y,-x+y,-z)';(x,x-y,z);(x,y,z)
164.88       P-3'm'1                        P 3 2" -1'              (y,-x+y,-z)';(x,x-y,z)';(x,y,z)
164.89       P-3m'1                         -P 3 2"'                (y,-x+y,-z);(x,x-y,z)';(x,y,z)
164.90       P-3m1.1'_c[P-3m1]              -P 3 2" 1'c             (y,-x+y,-z);(x,x-y,z);(x,y,z);(x,y,z+1/2)'
165.91       P-3c1.1                        -P 3 2"c                (y,-x+y,-z);(x,x-y,z+1/2);(x,y,z)
165.92       P-3c1.1'                       -P 3 2"c 1'             (y,-x+y,-z);(x,x-y,z+1/2);(x,y,z);(x,y,z)'
165.93       P-3'c1                         P 3 2"c' -1'            (y,-x+y,-z)';(x,x-y,z+1/2);(x,y,z)
165.94       P-3'c'1                        P 3 2"c -1'             (y,-x+y,-z)';(x,x-y,z+1/2)';(x,y,z)
165.95       P-3c'1                         -P 3 2"c'               (y,-x+y,-z);(x,x-y,z+1/2)';(x,y,z)
165.96       P-3c1.1'_c[P-3m1]              -P 3 2"c 1'c            (y,-x+y,-z);(x,x-y,z+1/2);(x,y,z);(x,y,z+1/2)'
166.97       R-3m.1                         -R 3 2"                 (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z)
166.98       R-3m.1'                        -R 3 2" 1'              (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z);(x,y,z)'
166.99       R-3'm                          R 3 2"' -1'             (x+2/3,y+1/3,z+1/3);(y,-x+y,-z)';(x,x-y,z)
166.100      R-3'm'                         R 3 2" -1'              (x+2/3,y+1/3,z+1/3);(y,-x+y,-z)';(x,x-y,z)'
166.101      R-3m'                          -R 3 2"'                (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z)'
166.102      R-3m.1'_c[R-3m]                -R 3 2" 1'I             (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z);(x,y,z+1/2)'
167.103      R-3c.1                         -R 3 2"c                (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z+1/2)
167.104      R-3c.1'                        -R 3 2"c 1'             (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z+1/2);(x,y,z)'
167.105      R-3'c                          R 3 2"c' -1'            (x+2/3,y+1/3,z+1/3);(y,-x+y,-z)';(x,x-y,z+1/2)
167.106      R-3'c'                         R 3 2"c -1'             (x+2/3,y+1/3,z+1/3);(y,-x+y,-z)';(x,x-y,z+1/2)'
167.107      R-3c'                          -R 3 2"c'               (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z+1/2)'
167.108      R-3c.1'_c[R-3m]                -R 3 2"c 1'I            (x+2/3,y+1/3,z+1/3);(y,-x+y,-z);(x,x-y,z+1/2);(x,y,z+1/2)'
168.109      P6.1                           P 6                     (x-y,x,z)
168.110      P6.1'                          P 6 1'                  (x-y,x,z);(x,y,z)'
168.111      P6'                            P 6'                    (x-y,x,z)'
168.112      P6.1'_c[P6]                    P 6 1'c                 (x-y,x,z);(x,y,z+1/2)'
169.113      P6_1.1                         P 61                    (x-y,x,z+1/6)
169.114      P6_1.1'                        P 61 1'                 (x-y,x,z+1/6);(x,y,z)'
169.115      P6_1'                          P 61'                   (x-y,x,z+1/6)'
169.116      P6_1.1'_c[P6_2]                P 61 1'c                (x-y,x,z+1/6);(x,y,z+1/2)'
170.117      P6_5.1                         P 65                    (x-y,x,z+5/6)
170.118      P6_5.1'                        P 65 1'                 (x-y,x,z+5/6);(x,y,z)'
170.119      P6_5'                          P 65'                   (x-y,x,z+5/6)'
170.120      P6_5.1'_c[P6_4]                P 65 1'c                (x-y,x,z+5/6);(x,y,z+1/2)'
171.121      P6_2.1                         P 62                    (x-y,x,z+1/3)
171.122      P6_2.1'                        P 62 1'                 (x-y,x,z+1/3);(x,y,z)'
171.123      P6_2'                          P 62'                   (x-y,x,z+1/3)'
171.124      P6_2.1'_c[P6_4]                P 62 1'c                (x-y,x,z+1/3);(x,y,z+1/2)'
172.125      P6_4.1                         P 64                    (x-y,x,z+2/3)
172.126      P6_4.1'                        P 64 1'                 (x-y,x,z+2/3);(x,y,z)'
172.127      P6_4'                          P 64'                   (x-y,x,z+2/3)'
172.128      P6_4.1'_c[P6_2]                P 64 1'c                (x-y,x,z+2/3);(x,y,z+1/2)'
173.129      P6_3.1                         P 6c                    (x-y,x,z+1/2)
173.130      P6_3.1'                        P 6c 1'                 (x-y,x,z+1/2);(x,y,z)'
173.131      P6_3'                          P 6c'                   (x-y,x,z+1/2)'
173.132      P6_3.1'_c[P6]                  P 6c 1'c                (x-y,x,z+1/2);(x,y,z+1/2)'
174.133      P-6.1                          P -6                    (-x+y,-x,-z)
174.134      P-6.1'                         P -6 1'                 (-x+y,-x,-z);(x,y,z)'
174.135      P-6'                           P -6'                   (-x+y,-x,-z)'
174.136      P-6.1'_c[P-6]                  P -6 1'c                (-x+y,-x,-z);(x,y,z+1/2)'
175.137      P6/m.1                         -P 6                    (x-y,x,z);(x,y,-z)
175.138      P6/m.1'                        -P 6 1'                 (x-y,x,z);(x,y,-z);(x,y,z)'
175.139      P6'/m                          P 6' -1'                (x-y,x,z)';(x,y,-z)
175.140      P6/m'                          P 6 -1'                 (x-y,x,z);(x,y,-z)'
175.141      P6'/m'                         -P 6'                   (x-y,x,z)';(x,y,-z)'
175.142      P6/m.1'_c[P6/m]                -P 6 1'c                (x-y,x,z);(x,y,-z);(x,y,z+1/2)'
176.143      P6_3/m.1                       -P 6c                   (x-y,x,z+1/2);(x,y,-z+1/2)
176.144      P6_3/m.1'                      -P 6c 1'                (x-y,x,z+1/2);(x,y,-z+1/2);(x,y,z)'
176.145      P6_3'/m                        P 6c' -1'               (x-y,x,z+1/2)';(x,y,-z+1/2)
176.146      P6_3/m'                        P 6c -1'                (x-y,x,z+1/2);(x,y,-z+1/2)'
176.147      P6_3'/m'                       -P 6c'                  (x-y,x,z+1/2)';(x,y,-z+1/2)'
176.148      P6_3/m.1'_c[P6/m]              -P 6c 1'c               (x-y,x,z+1/2);(x,y,-z+1/2);(x,y,z+1/2)'
177.149      P622.1                         P 6 2                   (x-y,x,z);(-x,-x+y,-z);(-y,-x,-z)
177.150      P622.1'                        P 6 2 1'                (x-y,x,z);(-x,-x+y,-z);(-y,-x,-z);(x,y,z)'
177.151      P6'2'2                         P 6' 2                  (x-y,x,z)';(-x,-x+y,-z)';(-y,-x,-z)
177.152      P6'22'                         P 6' 2'                 (x-y,x,z)';(-x,-x+y,-z);(-y,-x,-z)'
177.153      P62'2'                         P 6 2'                  (x-y,x,z);(-x,-x+y,-z)';(-y,-x,-z)'
177.154      P622.1'_c[P622]                P 6 2 1'c               (x-y,x,z);(-x,-x+y,-z);(-y,-x,-z);(x,y,z+1/2)'
178.155      P6_122.1                       P 61 2 (0 0 -1)         (x-y,x,z+1/6);(-x,-x+y,-z+2/3);(-y,-x,-z+5/6)
178.156      P6_122.1'                      P 61 2 1' (0 0 -1)      (x-y,x,z+1/6);(-x,-x+y,-z+2/3);(-y,-x,-z+5/6);(x,y,z)'
178.157      P6_1'2'2                       P 61' 2 (0 0 -1)        (x-y,x,z+1/6)';(-x,-x+y,-z+2/3)';(-y,-x,-z+5/6)
178.158      P6_1'22'                       P 61' 2' (0 0 -1)       (x-y,x,z+1/6)';(-x,-x+y,-z+2/3);(-y,-x,-z+5/6)'
178.159      P6_12'2'                       P 61 2' (0 0 -1)        (x-y,x,z+1/6);(-x,-x+y,-z+2/3)';(-y,-x,-z+5/6)'
178.160      P6_122.1'_c[P6_222]            P 61 2 1'c (0 0 -1)     (x-y,x,z+1/6);(-x,-x+y,-z+2/3);(-y,-x,-z+5/6);(x,y,z+1/2)'
179.161      P6_522.1                       P 65 2 (0 0 1)          (x-y,x,z+5/6);(-x,-x+y,-z+1/3);(-y,-x,-z+1/6)
179.162      P6_522.1'                      P 65 2 1' (0 0 1)       (x-y,x,z+5/6);(-x,-x+y,-z+1/3);(-y,-x,-z+1/6);(x,y,z)'
179.163      P6_5'2'2                       P 65' 2 (0 0 1)         (x-y,x,z+5/6)';(-x,-x+y,-z+1/3)';(-y,-x,-z+1/6)
179.164      P6_5'22'                       P 65' 2' (0 0 1)        (x-y,x,z+5/6)';(-x,-x+y,-z+1/3);(-y,-x,-z+1/6)'
179.165      P6_52'2'                       P 65 2' (0 0 1)         (x-y,x,z+5/6);(-x,-x+y,-z+1/3)';(-y,-x,-z+1/6)'
179.166      P6_522.1'_c[P6_422]            P 65 2 1'c (0 0 1)      (x-y,x,z+5/6);(-x,-x+y,-z+1/3);(-y,-x,-z+1/6);(x,y,z+1/2)'
180.167      P6_222.1                       P 62 2c (0 0 1)         (x-y,x,z+1/3);(-x,-x+y,-z+1/3);(-y,-x,-z+2/3)
180.168      P6_222.1'                      P 62 2c 1' (0 0 1)      (x-y,x,z+1/3);(-x,-x+y,-z+1/3);(-y,-x,-z+2/3);(x,y,z)'
180.169      P6_2'2'2                       P 62' 2c (0 0 1)        (x-y,x,z+1/3)';(-x,-x+y,-z+1/3)';(-y,-x,-z+2/3)
180.170      P6_2'22'                       P 62' 2c' (0 0 1)       (x-y,x,z+1/3)';(-x,-x+y,-z+1/3);(-y,-x,-z+2/3)'
180.171      P6_22'2'                       P 62 2c' (0 0 1)        (x-y,x,z+1/3);(-x,-x+y,-z+1/3)';(-y,-x,-z+2/3)'
180.172      P6_222.1'_c[P6_422]            P 62 2c 1'c (0 0 1)     (x-y,x,z+1/3);(-x,-x+y,-z+1/3);(-y,-x,-z+2/3);(x,y,z+1/2)'
181.173      P6_422.1                       P 64 2c (0 0 -1)        (x-y,x,z+2/3);(-x,-x+y,-z+2/3);(-y,-x,-z+1/3)
181.174      P6_422.1'                      P 64 2c 1' (0 0 -1)     (x-y,x,z+2/3);(-x,-x+y,-z+2/3);(-y,-x,-z+1/3);(x,y,z)'
181.175      P6_4'2'2                       P 64' 2c (0 0 -1)       (x-y,x,z+2/3)';(-x,-x+y,-z+2/3)';(-y,-x,-z+1/3)
181.176      P6_4'22'                       P 64' 2c' (0 0 -1)      (x-y,x,z+2/3)';(-x,-x+y,-z+2/3);(-y,-x,-z+1/3)'
181.177      P6_42'2'                       P 64 2c' (0 0 -1)       (x-y,x,z+2/3);(-x,-x+y,-z+2/3)';(-y,-x,-z+1/3)'
181.178      P6_422.1'_c[P6_222]            P 64 2c 1'c (0 0 -1)    (x-y,x,z+2/3);(-x,-x+y,-z+2/3);(-y,-x,-z+1/3);(x,y,z+1/2)'
182.179      P6_322.1                       P 6c 2c                 (x-y,x,z+1/2);(-x,-x+y,-z);(-y,-x,-z+1/2)
182.180      P6_322.1'                      P 6c 2c 1'              (x-y,x,z+1/2);(-x,-x+y,-z);(-y,-x,-z+1/2);(x,y,z)'
182.181      P6_3'2'2                       P 6c' 2c                (x-y,x,z+1/2)';(-x,-x+y,-z)';(-y,-x,-z+1/2)
182.182      P6_3'22'                       P 6c' 2c'               (x-y,x,z+1/2)';(-x,-x+y,-z);(-y,-x,-z+1/2)'
182.183      P6_32'2'                       P 6c 2c'                (x-y,x,z+1/2);(-x,-x+y,-z)';(-y,-x,-z+1/2)'
182.184      P6_322.1'_c[P622]              P 6c 2c 1'c             (x-y,x,z+1/2);(-x,-x+y,-z);(-y,-x,-z+1/2);(x,y,z+1/2)'
183.185      P6mm.1                         P 6 -2                  (x-y,x,z);(x,x-y,z);(y,x,z)
183.186      P6mm.1'                        P 6 -2 1'               (x-y,x,z);(x,x-y,z);(y,x,z);(x,y,z)'
183.187      P6'm'm                         P 6' -2                 (x-y,x,z)';(x,x-y,z)';(y,x,z)
183.188      P6'mm'                         P 6' -2'                (x-y,x,z)';(x,x-y,z);(y,x,z)'
183.189      P6m'm'                         P 6 -2'                 (x-y,x,z);(x,x-y,z)';(y,x,z)'
183.190      P6mm.1'_c[P6mm]                P 6 -2 1'c              (x-y,x,z);(x,x-y,z);(y,x,z);(x,y,z+1/2)'
184.191      P6cc.1                         P 6 -2c                 (x-y,x,z);(x,x-y,z+1/2);(y,x,z+1/2)
184.192      P6cc.1'                        P 6 -2c 1'              (x-y,x,z);(x,x-y,z+1/2);(y,x,z+1/2);(x,y,z)'
184.193      P6'c'c                         P 6' -2c                (x-y,x,z)';(x,x-y,z+1/2)';(y,x,z+1/2)
184.194      P6'cc'                         P 6' -2c'               (x-y,x,z)';(x,x-y,z+1/2);(y,x,z+1/2)'
184.195      P6c'c'                         P 6 -2c'                (x-y,x,z);(x,x-y,z+1/2)';(y,x,z+1/2)'
184.196      P6cc.1'_c[P6mm]                P 6 -2c 1'c             (x-y,x,z);(x,x-y,z+1/2);(y,x,z+1/2);(x,y,z+1/2)'
185.197      P6_3cm.1                       P 6c -2                 (x-y,x,z+1/2);(x,x-y,z+1/2);(y,x,z)
185.198      P6_3cm.1'                      P 6c -2 1'              (x-y,x,z+1/2);(x,x-y,z+1/2);(y,x,z);(x,y,z)'
185.199      P6_3'c'm                       P 6c' -2                (x-y,x,z+1/2)';(x,x-y,z+1/2)';(y,x,z)
185.200      P6_3'cm'                       P 6c' -2'               (x-y,x,z+1/2)';(x,x-y,z+1/2);(y,x,z)'
185.201      P6_3c'm'                       P 6c -2'                (x-y,x,z+1/2);(x,x-y,z+1/2)';(y,x,z)'
185.202      P6_3cm.1'_c[P6mm]              P 6c -2 1'c             (x-y,x,z+1/2);(x,x-y,z+1/2);(y,x,z);(x,y,z+1/2)'
186.203      P6_3mc.1                       P 6c -2c                (x-y,x,z+1/2);(x,x-y,z);(y,x,z+1/2)
186.204      P6_3mc.1'                      P 6c -2c 1'             (x-y,x,z+1/2);(x,x-y,z);(y,x,z+1/2);(x,y,z)'
186.205      P6_3'm'c                       P 6c' -2c               (x-y,x,z+1/2)';(x,x-y,z)';(y,x,z+1/2)
186.206      P6_3'mc'                       P 6c' -2c'              (x-y,x,z+1/2)';(x,x-y,z);(y,x,z+1/2)'
186.207      P6_3m'c'                       P 6c -2c'               (x-y,x,z+1/2);(x,x-y,z)';(y,x,z+1/2)'
186.208      P6_3mc.1'_c[P6mm]              P 6c -2c 1'c            (x-y,x,z+1/2);(x,x-y,z);(y,x,z+1/2);(x,y,z+1/2)'
187.209      P-6m2.1                        P -6 2                  (-x+y,-x,-z);(x,x-y,z);(-y,-x,-z)
187.210      P-6m2.1'                       P -6 2 1'               (-x+y,-x,-z);(x,x-y,z);(-y,-x,-z);(x,y,z)'
187.211      P-6'm'2                        P -6' 2                 (-x+y,-x,-z)';(x,x-y,z)';(-y,-x,-z)
187.212      P-6'm2'                        P -6' 2'                (-x+y,-x,-z)';(x,x-y,z);(-y,-x,-z)'
187.213      P-6m'2'                        P -6 2'                 (-x+y,-x,-z);(x,x-y,z)';(-y,-x,-z)'
187.214      P-6m2.1'_c[P-6m2]              P -6 2 1'c              (-x+y,-x,-z);(x,x-y,z);(-y,-x,-z);(x,y,z+1/2)'
188.215      P-6c2.1                        P -6c 2                 (-x+y,-x,-z+1/2);(x,x-y,z+1/2);(-y,-x,-z)
188.216      P-6c2.1'                       P -6c 2 1'              (-x+y,-x,-z+1/2);(x,x-y,z+1/2);(-y,-x,-z);(x,y,z)'
188.217      P-6'c'2                        P -6c' 2                (-x+y,-x,-z+1/2)';(x,x-y,z+1/2)';(-y,-x,-z)
188.218      P-6'c2'                        P -6c' 2'               (-x+y,-x,-z+1/2)';(x,x-y,z+1/2);(-y,-x,-z)'
188.219      P-6c'2'                        P -6c 2'                (-x+y,-x,-z+1/2);(x,x-y,z+1/2)';(-y,-x,-z)'
